X,Y,Z,GRADE
11,8,0,0.0813
60,8,0,550.1000
148,8,0,260.2000
168,8,0,446.0000
218,8,0,737.1000
239,8,0,240.3000
71,9,0,445.8000
130,9,0,572.5000
223,9,0,613.2000
236,9,0,515.9000
249,9,0,167.7000
54,10,0,637.9000
231,10,0,617.6000
31,11,0,28.7000
40,11,0,99.4000
46,11,0,512.3000
49,11,0,653.3000
91,11,0,368.3000
109,11,0,399.6000
190,11,0,348.5000
211,11,0,358.1000
216,11,0,660.2000
51,18,0,233.6000
218,18,0,797.4000
239,18,0,390.7000
214,19,0,242.5000
225,19,0,832.2000
229,19,0,518.6000
59,20,0,14.4000
78,20,0,505.9000
41,21,0,115.9000
70,21,0,58.1000
78,28,0,781.6000
191,28,0,222.4000
231,28,0,425.9000
29,29,0,78.1000
49,29,0,96.4000
60,29,0,238.5998
71,29,0,673.3000
73,29,0,649.4000
91,29,0,91.6000
149,29,0,326.0000
171,29,0,189.9000
8,30,0,0.2060
84,30,0,562.0000
209,30,0,473.3000
250,30,0,147.8000
64,31,0,235.4000
111,31,0,176.6000
131,31,0,29.1000
101,38,0,730.5000
104,38,0,617.1000
88,39,0,520.7000
75,40,0,696.7000
61,41,0,64.9000
70,41,0,472.0000
78,41,0,600.3000
84,41,0,411.4000
93,41,0,395.5000
9,48,0,224.4000
51,48,0,105.0000
86,48,0,471.9000
93,48,0,687.5000
100,48,0,48.7000
130,48,0,75.2000
191,48,0,59.1000
249,48,0,442.7000
80,49,0,757.4000
90,49,0,654.7000
108,49,0,402.0000
150,49,0,332.7000
169,49,0,280.4000
211,49,0,308.8000
230,50,0,295.7000
28,51,0,292.1000
70,51,0,252.6000
76,51,0,498.7000
26,58,0,39.5000
90,58,0,739.8000
29,59,0,772.7000
80,59,0,0.1870
18,60,0,519.4000
39,60,0,238.6001
43,60,0,584.0000
85,60,0,523.3000
100,60,0,0.1670
36,61,0,699.6000
94,61,0,778.7000
31,68,0,895.2000
49,68,0,37.8000
91,68,0,645.5000
101,68,0,383.1000
109,68,0,260.6000
8,69,0,434.4000
21,69,0,284.3000
84,69,0,963.9000
151,69,0,531.3000
168,69,0,0.1000
190,69,0,0.0526
251,69,0,487.7000
68,70,0,537.5000
79,70,0,508.8000
93,70,0,512.1000
128,70,0,399.9000
210,70,0,406.8000
24,71,0,735.8000
35,71,0,687.8000
40,71,0,76.2000
230,71,0,224.9000
100,78,0,372.4000
198,78,0,204.1000
24,79,0,891.8000
90,79,0,573.3000
16,80,0,915.6000
18,80,0,1036.7000
28,80,0,606.8000
